user_id,expenses (INR),vibe,reviews,instagram_photos,previous_destinations,favorite_activities
howardbryan,2707.83,Adventure,"My visit to Auli was truly action-packed. The backwaters were exhilarating The culture was thrilling Overall, it was a exhilarating experience.",https://instagram.com/kperry/post/3895_yoga,['Auli'],"['Backwaters', 'Cultural', 'Relaxation']"
stephenpatton,1721.91,Beach,I can't wait to return to serene Puducherry. The attractions were idyllic It was a pristine trip I'll never forget.,https://instagram.com/pcampbell/post/2393_thrill,['Puducherry'],"['Exploring', 'Adventure', 'Relaxation']"
courtney17,3069.39,Nightlife,Kerala exceeded my expectations in every exciting way. The attractions were energetic I left feeling completely energetic.,https://instagram.com/mporter/post/6853_adventure,"['Jaipur', 'Kerala', 'Manali']","['Adventure', 'Exploring', 'Luxury']"
jillmoore,3663.09,Luxury,"My visit to Andaman and Nicobar Islands was truly refined. The sights were refined The beaches were refined Overall, it was a lavish experience.",https://instagram.com/qserrano/post/9091_scenery,['Andaman and Nicobar Islands'],"['Exploring', 'Swimming', 'Hiking', 'Nature']"
paulhendrix,5764.79,Solo Travel,I had a introspective time in Mumbai. The backwaters were empowering The landscapes were introspective It was a liberating trip I'll never forget.,https://instagram.com/awood/post/7311_boat,['Mumbai'],"['Backwaters', 'Photography']"
matthew11,1697.15,Nature,The untouched atmosphere of Manali was unforgettable. The attractions were lush Camping here was a breathtaking experience I left feeling completely majestic.,https://instagram.com/brianjohnson/post/8083_snow,"['Auli', 'Manali', 'Rishikesh']","['Exploring', 'Camping', 'Skiing', 'Photography']"
watsonspencer,3847.66,Luxury,"I can't wait to return to indulgent Mysore. The lagoons were exclusive The cultural experience was lavish Overall, it was a exclusive experience.",https://instagram.com/sheena82/post/7451_lagoon,"['Mysore', 'Udaipur']","['Backwaters', 'Cultural', 'Photography', 'Fine Dining']"
joel33,2852.1,Relaxation,"My visit to Goa was truly peaceful. The waters were calming Overall, it was a peaceful experience.",https://instagram.com/jennifer85/post/2534_pool,['Goa'],"['Swimming', 'Adventure', 'Cultural', 'Shopping']"
margaretgomez,2038.09,Solo Travel,"Auli exceeded my expectations in every liberating way. Swimming here was a independent experience The restaurants were eye-opening Overall, it was a empowering experience.",https://instagram.com/amandalambert/post/9413_waves,['Auli'],"['Swimming', 'Fine Dining']"
jonesjon,2063.51,Nature,"My visit to Leh-Ladakh was truly lush. The scenery was lush Overall, it was a breathtaking experience.",https://instagram.com/upeters/post/9811_landscape,"['Spiti Valley', 'Leh-Ladakh']","['Beach', 'Photography']"
haley02,2430.21,Relaxation,My visit to Munnar was truly tranquil. The landscapes were peaceful I left feeling completely peaceful.,https://instagram.com/williamsmisty/post/5592_expedition,"['Darjeeling', 'Shimla', 'Munnar']","['Adventure', 'Photography']"
jessica99,1799.39,Nature,"I can't wait to return to majestic Munnar. Hiking here was a majestic experience Overall, it was a untouched experience.",https://instagram.com/christinahartman/post/3658_retreat,['Munnar'],"['Hiking', 'Relaxation', 'Skiing']"
poncebradley,2298.71,Adventure,Spiti Valley exceeded my expectations in every thrilling way. The mountain views were unforgettable The waters were challenging It was a unforgettable trip I'll never forget.,https://instagram.com/adam55/post/2294_trail,"['Manali', 'Spiti Valley']","['Hiking', 'Swimming', 'Fine Dining', 'Exploring']"
moodychristopher,3813.68,Nature,I had a awe-inspiring time in Andaman and Nicobar Islands. Dining here was a untouched experience I left feeling completely lush.,https://instagram.com/elizabethfreeman/post/4961_food,['Andaman and Nicobar Islands'],"['Fine Dining', 'Beach', 'Backwaters']"
thomas17,1633.24,Nature,I can't wait to return to awe-inspiring Manali. The trails were breathtaking The culture was majestic I left feeling completely majestic.,https://instagram.com/phowell/post/1866_tradition,"['Manali', 'Rishikesh']","['Hiking', 'Cultural', 'Nightlife', 'Exploring']"
mitchellcheryl,2086.81,Nightlife,I had a exciting time in Auli. The mountain views were energetic I left feeling completely exciting.,https://instagram.com/kellystephanie/post/7910_mountain,"['Goa', 'Auli', 'Spiti Valley']","['Hiking', 'Relaxation']"
lee61,2856.91,Relaxation,Goa exceeded my expectations in every rejuvenating way. Swimming here was a soothing experience It was a rejuvenating trip I'll never forget.,https://instagram.com/brittany55/post/5575_thrill,['Goa'],"['Adventure', 'Swimming']"
wkelly,3230.49,Cultural,My visit to Varanasi was truly rich. The culture was authentic The wilderness was rich It was a immersive trip I'll never forget.,https://instagram.com/ewoods/post/9506_museum,"['Delhi', 'Mysore', 'Varanasi']","['Cultural', 'Camping']"
stantonchad,1443.63,Nature,I can't wait to return to majestic Rishikesh. The wilderness was majestic The clubs were untouched I left feeling completely breathtaking.,https://instagram.com/ray42/post/2323_club,['Rishikesh'],"['Camping', 'Nightlife']"
jacksonjenny,2580.48,Nature,My visit to Leh-Ladakh was truly majestic. The slopes were breathtaking It was a breathtaking trip I'll never forget.,https://instagram.com/xcaldwell/post/5344_extreme,"['Spiti Valley', 'Leh-Ladakh']","['Skiing', 'Adventure', 'Camping']"
averysierra,4165.99,Beach,"Andaman and Nicobar Islands exceeded my expectations in every picturesque way. The traditions were serene Overall, it was a picturesque experience.",https://instagram.com/nicolestewart/post/2510_scenery,['Andaman and Nicobar Islands'],"['Nature', 'Cultural', 'Adventure', 'Nightlife']"
brendairwin,2016.76,Nature,The lush atmosphere of Andaman and Nicobar Islands was unforgettable. Camping here was a untouched experience I left feeling completely breathtaking.,https://instagram.com/kathysmith/post/8195_forest,"['Rishikesh', 'Andaman and Nicobar Islands']","['Beach', 'Camping', 'Relaxation', 'Cultural']"
jeremyford,4354.05,Relaxation,I can't wait to return to tranquil Goa. The culture was rejuvenating The slopes were tranquil It was a peaceful trip I'll never forget.,https://instagram.com/lisa23/post/6993_mountain,"['Goa', 'Delhi']","['Cultural', 'Skiing']"
vschaefer,2313.86,Beach,Munnar exceeded my expectations in every picturesque way. Hiking here was a serene experience Taking photos here was a picturesque experience I left feeling completely golden.,https://instagram.com/amy89/post/3125_street,"['Munnar', 'Darjeeling', 'Varanasi']","['Hiking', 'Photography', 'Exploring']"
heatherkim,2318.79,Nature,I had a lush time in Shimla. Taking photos here was a lush experience I left feeling completely breathtaking.,https://instagram.com/jamie19/post/5093_coast,"['Shimla', 'Leh-Ladakh', 'Rishikesh']","['Adventure', 'Photography', 'Beach']"
donald26,1821.55,Nature,I had a majestic time in Manali. The campsites were untouched The culture was breathtaking It was a lush trip I'll never forget.,https://instagram.com/richardhess/post/4680_forest,['Manali'],"['Camping', 'Cultural', 'Skiing', 'Exploring']"
merrittamy,3611.04,Adventure,My visit to Andaman and Nicobar Islands was truly action-packed. The cuisine was thrilling I left feeling completely unforgettable.,https://instagram.com/xmelendez/post/5236_pool,['Andaman and Nicobar Islands'],"['Luxury', 'Fine Dining', 'Swimming']"
ronaldcruz,3064.86,Solo Travel,Jaipur exceeded my expectations in every eye-opening way. The snow conditions were eye-opening The boutiques were eye-opening It was a independent trip I'll never forget.,https://instagram.com/christina30/post/6893_city,['Jaipur'],"['Skiing', 'Shopping', 'Nature', 'Exploring']"
cindy45,2317.31,Beach,Puducherry exceeded my expectations in every serene way. The traditions were golden I left feeling completely picturesque.,https://instagram.com/nguyenshawna/post/9643_premium,['Puducherry'],"['Cultural', 'Luxury']"
timothy87,3153.96,Solo Travel,The empowering atmosphere of Rishikesh was unforgettable. The boutiques were eye-opening The cuisine was liberating It was a introspective trip I'll never forget.,https://instagram.com/gregory16/post/2151_mall,"['Delhi', 'Rishikesh']","['Shopping', 'Fine Dining']"
knightbarbara,4930.2,Nightlife,My visit to Delhi was truly exciting. The cuisine was energetic The evening entertainment was lively I left feeling completely exciting.,https://instagram.com/kennedyapril/post/8386_chef,"['Mumbai', 'Delhi']","['Fine Dining', 'Nightlife', 'Shopping', 'Adventure']"
stacey81,2476.67,Cultural,The immersive atmosphere of Agra was unforgettable. Swimming here was a rich experience Exploring here was a fascinating experience I left feeling completely fascinating.,https://instagram.com/tinalopez/post/1135_landmark,['Agra'],"['Swimming', 'Exploring', 'Backwaters']"
christopher32,4445.75,Solo Travel,I had a eye-opening time in Udaipur. The cultural experience was liberating The beaches were introspective It was a empowering trip I'll never forget.,https://instagram.com/alexa65/post/5587_waves,['Udaipur'],"['Cultural', 'Swimming']"
stacy28,3527.32,Luxury,I had a exclusive time in Udaipur. The landscapes were lavish It was a opulent trip I'll never forget.,https://instagram.com/tracy64/post/7029_expedition,"['Jaipur', 'Mysore', 'Udaipur']","['Photography', 'Adventure']"
lwalter,3675.5,Cultural,The fascinating atmosphere of Puducherry was unforgettable. The boat rides were authentic It was a traditional trip I'll never forget.,https://instagram.com/dharvey/post/9183_houseboat,"['Udaipur', 'Puducherry']","['Backwaters', 'Relaxation', 'Luxury']"
lgarcia,4323.65,Cultural,My visit to Delhi was truly rich. The boat rides were traditional Dining here was a authentic experience I left feeling completely immersive.,https://instagram.com/barbara28/post/6961_thrill,"['Delhi', 'Mysore']","['Backwaters', 'Fine Dining', 'Adventure', 'Luxury']"
smithtimothy,3741.56,Solo Travel,I can't wait to return to empowering Shimla. I left feeling completely introspective.,https://instagram.com/guzmankimberly/post/3399_flora,"['Delhi', 'Shimla', 'Andaman and Nicobar Islands']","['Relaxation', 'Nature']"
josephsmith,4004.99,Luxury,"The indulgent atmosphere of Mumbai was unforgettable. The culture was exclusive Overall, it was a opulent experience.",https://instagram.com/robertwarren/post/6289_museum,"['Mumbai', 'Jaipur']","['Cultural', 'Beach', 'Fine Dining', 'Camping']"
mlawson,2400.83,Budget,The value-for-money atmosphere of Andaman and Nicobar Islands was unforgettable. The backwaters were value-for-money I left feeling completely value-for-money.,https://instagram.com/joshua92/post/2619_fauna,"['Shimla', 'Leh-Ladakh', 'Andaman and Nicobar Islands']","['Backwaters', 'Nature', 'Relaxation']"
larryspencer,4426.65,Budget,"I can't wait to return to value-for-money Delhi. The beaches were cost-effective Overall, it was a cost-effective experience.",https://instagram.com/susanrowe/post/5335_store,['Delhi'],"['Beach', 'Swimming', 'Shopping']"
mitchell48,3682.52,Luxury,The indulgent atmosphere of Jaipur was unforgettable. The scenery was lavish I left feeling completely opulent.,https://instagram.com/walkerbeth/post/4134_landscape,"['Udaipur', 'Jaipur']","['Photography', 'Adventure', 'Camping']"
williammoore,4543.12,Luxury,Udaipur exceeded my expectations in every lavish way. Taking photos here was a lavish experience It was a lavish trip I'll never forget.,https://instagram.com/thomas78/post/6811_premium,['Udaipur'],"['Photography', 'Luxury', 'Adventure']"
christopherhall,3592.87,Beach,I can't wait to return to idyllic Andaman and Nicobar Islands. The beaches were serene It was a golden trip I'll never forget.,https://instagram.com/qhernandez/post/3079_elegant,"['Goa', 'Andaman and Nicobar Islands']","['Luxury', 'Swimming', 'Fine Dining']"
chase83,3458.2,Cultural,Jaipur exceeded my expectations in every immersive way. The nightlife was rich I left feeling completely authentic.,https://instagram.com/webbsamantha/post/1245_party,"['Jaipur', 'Auli']","['Adventure', 'Nightlife', 'Skiing']"
barnettjack,1995.74,Adventure,I can't wait to return to thrilling Spiti Valley. The scenery was challenging The campsites were thrilling I left feeling completely unforgettable.,https://instagram.com/howardsimmons/post/1965_temple,"['Leh-Ladakh', 'Rishikesh', 'Spiti Valley']","['Photography', 'Camping', 'Cultural', 'Exploring']"
pjones,3525.44,Luxury,My visit to Jaipur was truly opulent. The restaurants were refined It was a lavish trip I'll never forget.,https://instagram.com/dreed/post/2215_sun,['Jaipur'],"['Beach', 'Fine Dining', 'Cultural', 'Camping']"
andrea63,4163.8,Nightlife,The vibrant atmosphere of Goa was unforgettable. The cultural experience was lively The attractions were vibrant It was a exciting trip I'll never forget.,https://instagram.com/patriciachen/post/6972_forest,"['Delhi', 'Goa']","['Cultural', 'Exploring', 'Nightlife', 'Camping']"
kelly76,3753.35,Cultural,Andaman and Nicobar Islands exceeded my expectations in every fascinating way. Camping here was a authentic experience The trails were traditional I left feeling completely immersive.,https://instagram.com/waltersglen/post/1845_tent,['Andaman and Nicobar Islands'],"['Camping', 'Hiking']"
coxharold,1358.91,Nature,The awe-inspiring atmosphere of Rishikesh was unforgettable. The wilderness was untouched The attractions were untouched It was a awe-inspiring trip I'll never forget.,https://instagram.com/slutz/post/5633_forest,['Rishikesh'],"['Camping', 'Exploring', 'Photography', 'Hiking']"
woodsandrea,1344.22,Nature,Rishikesh exceeded my expectations in every breathtaking way. The sights were breathtaking The wilderness was majestic I left feeling completely lush.,https://instagram.com/timothy76/post/8869_campfire,['Rishikesh'],"['Exploring', 'Camping', 'Luxury', 'Cultural']"
bwilson,2324.31,Budget,"I can't wait to return to value-for-money Auli. The clubs were affordable Overall, it was a economical experience.",https://instagram.com/hillcarol/post/4391_wellness,['Auli'],"['Nightlife', 'Relaxation', 'Fine Dining']"
robertgalvan,2948.91,Cultural,Puducherry exceeded my expectations in every rich way. The backwaters were fascinating The sights were rich It was a fascinating trip I'll never forget.,https://instagram.com/meghannielsen/post/4799_festival,"['Delhi', 'Varanasi', 'Puducherry']","['Backwaters', 'Exploring', 'Adventure', 'Cultural']"
bakerjames,2194.45,Cultural,Puducherry exceeded my expectations in every traditional way. Hiking here was a authentic experience It was a authentic trip I'll never forget.,https://instagram.com/wvincent/post/6393_trail,['Puducherry'],"['Hiking', 'Beach']"
katie41,2260.58,Nature,"I can't wait to return to majestic Kerala. The clubs were majestic Overall, it was a breathtaking experience.",https://instagram.com/markjohnson/post/5252_party,['Kerala'],"['Nightlife', 'Relaxation']"
houseleonard,1913.17,Luxury,I had a indulgent time in Kerala. The boat rides were refined I left feeling completely lavish.,https://instagram.com/amandamay/post/6838_sun,['Kerala'],"['Beach', 'Backwaters']"
ryan73,5681.82,Luxury,I can't wait to return to lavish Mumbai. The clubs were indulgent I left feeling completely indulgent.,https://instagram.com/xking/post/2314_party,['Mumbai'],"['Adventure', 'Nightlife', 'Hiking']"
daniel02,4241.59,Cultural,I had a immersive time in Udaipur. Taking photos here was a traditional experience The cuisine was fascinating It was a fascinating trip I'll never forget.,https://instagram.com/matthew52/post/5402_restaurant,['Udaipur'],"['Photography', 'Fine Dining', 'Luxury']"
gwilliams,1633.62,Nature,I had a majestic time in Munnar. Hiking here was a breathtaking experience The sights were breathtaking I left feeling completely lush.,https://instagram.com/martha93/post/6543_forest,"['Darjeeling', 'Munnar', 'Shimla']","['Hiking', 'Exploring']"
davisveronica,2872.2,Nature,"I had a untouched time in Darjeeling. Overall, it was a awe-inspiring experience.",https://instagram.com/salazarcynthia/post/7183_spa,"['Darjeeling', 'Andaman and Nicobar Islands', 'Munnar']","['Relaxation', 'Beach', 'Photography']"
michael55,1610.5,Adventure,"The thrilling atmosphere of Rishikesh was unforgettable. The campsites were unforgettable Overall, it was a challenging experience.",https://instagram.com/paul98/post/3775_tent,"['Rishikesh', 'Manali']","['Nature', 'Camping']"
taylorjessica,3107.66,Cultural,"The traditional atmosphere of Mysore was unforgettable. Shopping here was a traditional experience The restaurants were fascinating Overall, it was a rich experience.",https://instagram.com/ulewis/post/3006_forest,"['Mysore', 'Agra']","['Shopping', 'Fine Dining', 'Hiking', 'Cultural']"
ashley68,2351.76,Adventure,I can't wait to return to exhilarating Spiti Valley. The landscapes were exhilarating It was a unforgettable trip I'll never forget.,https://instagram.com/hbutler/post/8455_adrenaline,"['Rishikesh', 'Leh-Ladakh', 'Spiti Valley']","['Photography', 'Relaxation', 'Backwaters', 'Adventure']"
hutchinsongregory,3074.67,Cultural,I had a rich time in Varanasi. The clubs were rich The landscapes were traditional It was a immersive trip I'll never forget.,https://instagram.com/john32/post/4570_camera,"['Agra', 'Varanasi', 'Udaipur']","['Nightlife', 'Photography', 'Skiing']"
lydia70,2627.57,Relaxation,"I had a peaceful time in Kerala. The slopes were rejuvenating The boat rides were tranquil Overall, it was a tranquil experience.",https://instagram.com/foxmelissa/post/1118_ski,['Kerala'],"['Skiing', 'Backwaters']"
anna46,3238.07,Beach,Goa exceeded my expectations in every golden way. The markets were golden The nightlife was picturesque I left feeling completely golden.,https://instagram.com/joycedaniel/post/9048_music,['Goa'],"['Shopping', 'Nightlife', 'Hiking']"
josephbates,5766.52,Luxury,"The indulgent atmosphere of Mumbai was unforgettable. The nightlife was refined Overall, it was a exclusive experience.",https://instagram.com/matthew06/post/5390_adrenaline,['Mumbai'],"['Nightlife', 'Adventure']"
theresawilliams,1507.16,Solo Travel,"My visit to Rishikesh was truly independent. The campsites were eye-opening The clubs were independent Overall, it was a liberating experience.",https://instagram.com/richard83/post/2423_tent,['Rishikesh'],"['Camping', 'Nightlife']"
lewisdenise,1281.11,Adventure,Rishikesh exceeded my expectations in every action-packed way. The restaurants were thrilling Skiing here was a thrilling experience I left feeling completely challenging.,https://instagram.com/ablake/post/8527_ski,['Rishikesh'],"['Fine Dining', 'Skiing', 'Camping']"
krodriguez,4979.45,Luxury,"Udaipur exceeded my expectations in every lavish way. Skiing here was a opulent experience Overall, it was a refined experience.",https://instagram.com/martinezrachel/post/5726_exclusive,['Udaipur'],"['Luxury', 'Skiing']"
bruceberry,4099.37,Beach,The serene atmosphere of Goa was unforgettable. Taking photos here was a pristine experience The slopes were idyllic I left feeling completely serene.,https://instagram.com/abigailfry/post/6565_mountain,"['Delhi', 'Goa', 'Leh-Ladakh']","['Photography', 'Skiing']"
mccallpatrick,2590.09,Luxury,"I had a lavish time in Jaipur. The attractions were opulent The beaches were lavish Overall, it was a refined experience.",https://instagram.com/dylan68/post/8470_landmark,"['Varanasi', 'Agra', 'Jaipur']","['Exploring', 'Swimming']"
chandlerbriana,3186.78,Beach,I can't wait to return to golden Andaman and Nicobar Islands. The snow conditions were serene The restaurants were pristine It was a serene trip I'll never forget.,https://instagram.com/karen92/post/6567_beach,"['Goa', 'Andaman and Nicobar Islands']","['Skiing', 'Fine Dining', 'Swimming', 'Nature']"
christensenjason,5610.66,Nightlife,I had a pulsating time in Mumbai. The landscapes were exciting Shopping here was a vibrant experience It was a lively trip I'll never forget.,https://instagram.com/jameswilkins/post/7792_camera,"['Delhi', 'Mumbai']","['Photography', 'Shopping']"
pachecomaria,1835.98,Adventure,My visit to Spiti Valley was truly action-packed. I left feeling completely action-packed.,https://instagram.com/urice/post/7988_resort,"['Spiti Valley', 'Auli', 'Leh-Ladakh']","['Luxury', 'Adventure', 'Photography', 'Shopping']"
angelascott,4163.92,Beach,I can't wait to return to idyllic Andaman and Nicobar Islands. Taking photos here was a serene experience It was a picturesque trip I'll never forget.,https://instagram.com/paguilar/post/2838_landscape,['Andaman and Nicobar Islands'],"['Beach', 'Photography']"
jonathanvazquez,2577.84,Budget,"I had a value-for-money time in Auli. Swimming here was a affordable experience Overall, it was a affordable experience.",https://instagram.com/stewartjohn/post/9412_sun,['Auli'],"['Swimming', 'Beach']"
jo00,2430.3,Luxury,I had a refined time in Goa. The attractions were lavish I left feeling completely exclusive.,https://instagram.com/greentammie/post/2531_extreme,['Goa'],"['Exploring', 'Adventure']"
wolfantonio,1783.37,Cultural,Puducherry exceeded my expectations in every immersive way. It was a rich trip I'll never forget.,https://instagram.com/jhill/post/7631_resort,['Puducherry'],"['Luxury', 'Beach']"
todd84,2465.8,Nightlife,My visit to Goa was truly energetic. Swimming here was a lively experience Camping here was a pulsating experience I left feeling completely lively.,https://instagram.com/christy32/post/6416_night,['Goa'],"['Swimming', 'Camping']"
pearsonnicole,2095.07,Nature,The lush atmosphere of Kerala was unforgettable. The evening entertainment was breathtaking The backwaters were untouched It was a lush trip I'll never forget.,https://instagram.com/qdominguez/post/2655_music,['Kerala'],"['Nightlife', 'Backwaters']"
fpetersen,3435.58,Budget,"I had a cost-effective time in Shimla. The nightlife was value-for-money Overall, it was a economical experience.",https://instagram.com/barry86/post/9257_bar,"['Delhi', 'Shimla', 'Auli']","['Luxury', 'Nightlife']"
christianochoa,2081.1,Solo Travel,My visit to Manali was truly independent. The attractions were empowering It was a introspective trip I'll never forget.,https://instagram.com/webercarl/post/9197_adventure,"['Auli', 'Shimla', 'Manali']","['Luxury', 'Exploring']"
garrettharris,3393.24,Relaxation,"Goa exceeded my expectations in every calming way. Camping here was a soothing experience Dining here was a soothing experience Overall, it was a tranquil experience.",https://instagram.com/rlee/post/9029_forest,['Goa'],"['Camping', 'Fine Dining', 'Beach', 'Shopping']"
tombailey,2743.09,Relaxation,I can't wait to return to soothing Agra. The slopes were rejuvenating The restaurants were tranquil It was a peaceful trip I'll never forget.,https://instagram.com/framsey/post/6306_chef,['Agra'],"['Skiing', 'Fine Dining', 'Cultural']"
ustark,2434.46,Adventure,I had a unforgettable time in Kerala. The restaurants were challenging It was a action-packed trip I'll never forget.,https://instagram.com/regina54/post/9664_restaurant,['Kerala'],"['Luxury', 'Fine Dining']"
julie75,2112.05,Relaxation,"Munnar exceeded my expectations in every soothing way. The mountain views were soothing The scenery was peaceful Overall, it was a peaceful experience.",https://instagram.com/johningram/post/4566_city,"['Munnar', 'Shimla']","['Hiking', 'Photography', 'Exploring']"
franklinrobert,2493.02,Adventure,"Andaman and Nicobar Islands exceeded my expectations in every unforgettable way. Skiing here was a thrilling experience Overall, it was a unforgettable experience.",https://instagram.com/melaniehudson/post/2555_temple,"['Andaman and Nicobar Islands', 'Manali']","['Skiing', 'Nature', 'Cultural']"
edwardsphillip,2330.86,Adventure,I had a unforgettable time in Auli. Swimming here was a action-packed experience Skiing here was a challenging experience It was a action-packed trip I'll never forget.,https://instagram.com/christopherhumphrey/post/5602_landscape,"['Spiti Valley', 'Leh-Ladakh', 'Auli']","['Swimming', 'Skiing', 'Nature', 'Photography']"
tvillegas,1926.79,Relaxation,My visit to Munnar was truly soothing. The trails were calming The restaurants were calming It was a calming trip I'll never forget.,https://instagram.com/allisonjones/post/6451_fauna,['Munnar'],"['Hiking', 'Fine Dining', 'Swimming', 'Nature']"
whitewilliam,1972.27,Adventure,I had a unforgettable time in Manali. Skiing here was a action-packed experience It was a action-packed trip I'll never forget.,https://instagram.com/stevenreyes/post/1330_street,['Manali'],"['Luxury', 'Skiing', 'Beach', 'Exploring']"
danielmiller,2842.29,Cultural,"My visit to Agra was truly traditional. The slopes were fascinating The landscapes were rich Overall, it was a authentic experience.",https://instagram.com/jasmine26/post/8233_scenery,['Agra'],"['Skiing', 'Photography', 'Beach', 'Nature']"
leestephanie,3475.23,Solo Travel,I can't wait to return to liberating Delhi. It was a liberating trip I'll never forget.,https://instagram.com/courtney44/post/6556_sun,"['Delhi', 'Spiti Valley']","['Beach', 'Relaxation']"
hilljulia,2431.08,Beach,I had a pristine time in Andaman and Nicobar Islands. The cultural experience was idyllic It was a pristine trip I'll never forget.,https://instagram.com/vincenteric/post/6488_street,"['Andaman and Nicobar Islands', 'Puducherry']","['Nature', 'Cultural', 'Exploring']"
karen66,3902.67,Nightlife,Udaipur exceeded my expectations in every vibrant way. Exploring here was a energetic experience The landscapes were exciting I left feeling completely pulsating.,https://instagram.com/christine49/post/1216_landscape,"['Agra', 'Udaipur']","['Exploring', 'Photography', 'Luxury']"
kristin73,3286.53,Nightlife,My visit to Goa was truly exciting. The sights were pulsating I left feeling completely lively.,https://instagram.com/alexander93/post/1068_sea,['Goa'],"['Exploring', 'Relaxation', 'Beach', 'Photography']"
hendersonmichael,3384.53,Nightlife,Goa exceeded my expectations in every vibrant way. The waters were vibrant I left feeling completely energetic.,https://instagram.com/kimberlythompson/post/5572_waves,['Goa'],"['Swimming', 'Luxury', 'Skiing']"
catherinebernard,3749.96,Nature,The awe-inspiring atmosphere of Andaman and Nicobar Islands was unforgettable. The waters were untouched I left feeling completely lush.,https://instagram.com/sellersjoseph/post/9949_ski,['Andaman and Nicobar Islands'],"['Swimming', 'Beach', 'Skiing']"
scottlindsay,2775.15,Cultural,"I had a traditional time in Agra. The beaches were fascinating The attractions were traditional Overall, it was a immersive experience.",https://instagram.com/erik93/post/8216_houseboat,['Agra'],"['Swimming', 'Exploring', 'Backwaters', 'Shopping']"
